City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
662,Half Moon Bay,US,72.19,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
664,Puerto Rico,AR,86.0,-26.796,-55.024,Hotel Cabañas del Prado
666,Minbu,MM,75.69,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
669,Bilma,NE,83.71,18.6853,12.9164,Expeditions Ténére voyages
671,Kaele,CM,86.97,10.1092,14.4508,Hôtel Les Palmiers
675,Saint-Pierre,RE,71.24,-21.3393,55.4781,Lindsey Hôtel
678,Rosetta,EG,73.22,31.4044,30.4164,Green Valley
684,Mindelo,CV,78.35,16.8901,-24.9804,Hotel Gaudi
685,Fremont,US,73.38,37.5483,-121.9886,All Suites Islander Motels
690,Safford,US,83.93,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
695,Trat,TH,82.98,12.5,102.5,สวนหนิง-อัศ
